year,month,state,data_status,revenue,megawatthours,customers,price,Unnamed: 0,average_temp,monthly_mean_from_1901_to_2000,centroid_lon,centroid_lat
2022,6,NJ,Final,77089,604345,11546,12.76,41739,66.6,64.1,-74.6607541123,40.1844273633
2022,6,NM,Final,59087,933806,9296,6.33,41740,68.6,64.6,-106.108388616,34.4213707591
2022,6,NV,Final,99774,1112572,3512,8.97,41737,60.6,59.4,-116.65522549,39.3562373462
2022,6,NY,Final,108152,1433613,7378,7.54,41741,61.1,59.0,-75.5031182762,42.9403901101
2022,6,OH,Final,358287,4451571,19683,8.05,41744,67.2,64.5,-82.7900611953,40.291452206
2022,6,OK,Final,144570,1893418,20282,7.64,41745,75.0,72.5,-97.5082927121,35.5834856477
2022,6,OR,Final,105348,1601150,26919,6.58,41746,52.9,53.8,-120.555413394,43.9366481606
2022,6,PA,Final,377131,4415756,15776,8.54,41747,63.8,61.8,-77.7995595623,40.8738378455
2022,6,RI,Final,8810,50826,1594,17.33,41748,63.2,60.4,-71.5536120535,41.6760813901
2022,6,SC,Final,167783,2229918,3696,7.52,41749,75.8,73.7,-80.8961396866,33.9079742468
2022,6,SD,Final,22565,271072,4309,8.32,41750,61.5,60.9,-100.230507516,44.4361607025
2022,6,TN,Final,135215,2009536,1020,6.73,41751,72.4,70.0,-86.3433803654,35.8429870949
2022,6,TX,Final,920241,12404367,324865,7.42,41752,80.8,76.0,-99.3506971451,31.4844643819
2022,6,UT,Final,52789,790184,10442,6.68,41753,61.2,59.3,-111.678216374,39.3237947509
2022,6,VA,Final,113250,1472921,3675,7.69,41755,68.6,67.0,-78.8122544727,37.5150238913
2022,6,VT,Final,13826,114892,253,12.03,41754,59.0,56.6,-72.6626493581,44.0751958252
2022,6,WA,Final,103154,1803533,27118,5.72,41756,53.2,54.8,-120.446866425,47.3809688818
2022,6,WI,Final,184898,1971280,5707,9.38,41758,61.3,59.4,-90.0116942643,44.6380301915
2022,6,WV,Final,85403,1189909,11218,7.18,41757,65.8,64.2,-80.6137119661,38.6425987436
2022,6,WY,Final,52743,783792,11843,6.73,41759,52.8,53.0,-107.551454075,42.999642032
2022,5,AL,Final,210235,2774918,7232,7.58,41664,68.0,66.7,-86.8283719359,32.7898321918
2022,5,AR,Final,114109,1547091,31471,7.38,41666,65.4,64.6,-92.4392676639,34.8997453322
2022,5,AZ,Final,95022,1215292,7854,7.82,41665,64.8,60.9,-111.664418336,34.2931098705
2022,5,CA,Final,636900,3962195,148760,16.07,41667,59.1,57.4,-119.610698951,37.2460706736
2022,5,CO,Final,99834,1208908,15157,8.26,41668,48.5,47.2,-105.547824721,38.9985518194
2022,5,CT,Final,34842,241437,3987,14.43,41669,54.1,51.4,-72.7257060428,41.6202863352
2022,5,DE,Final,13086,157100,870,8.33,41670,58.7,57.1,-75.4004040929,38.8870164548
2022,5,FL,Final,143859,1593707,23568,9.03,41671,74.7,72.2,-81.7974638723,28.6284392647
2022,5,GA,Final,256654,2972100,24308,8.64,41672,68.1,67.0,-83.4463418309,32.6492290722
2022,5,IA,Final,160051,2290892,9646,6.99,41676,52.6,54.0,-93.5000649605,42.0746268788
2022,5,ID,Final,53320,864128,29315,6.17,41673,41.6,45.2,-114.659382348,44.0890895052
